UNITID,LATITUDE,LONGITUDE
100654,34.7834,-86.5685
100663,33.5022,-86.8092
100690,32.3626,-86.174
100706,34.7228,-86.6384
100724,32.3643,-86.2957
100751,33.2144,-87.5458
100812,34.8056,-86.9651
100830,32.3699,-86.1774
100858,32.6002,-85.4924
100937,33.5155,-86.8536
101073,32.4223,-87.0242
101189,32.3842,-86.2164
101435,32.3509,-86.2853
101453,34.8591,-87.6621
101480,33.8221,-85.7666
101541,32.6305,-87.3161
101587,32.5924,-88.1861
101675,33.4813,-86.9086
101693,30.7932,-88.1289
101709,33.1063,-86.8651
101879,34.8066,-87.681
101912,34.7566,-86.6616
102049,33.4646,-86.7909
102058,32.4204,-87.0338
102094,30.6951,-88.1819
102234,30.6948,-88.1382
102261,33.3789,-86.749
102270,33.1992,-87.5852
102298,33.4343,-86.1137
102368,31.8001,-85.9502
102377,32.431,-85.7103
102395,30.6393,-87.9116
102553,61.1896,-149.8261
102614,64.8571,-147.8248
102632,58.3843,-134.6363
102669,61.1912,-149.8042
103787,33.5777,-112.0922
104151,33.4219,-111.94
104179,32.2321,-110.9508
104586,34.6157,-112.4523
104665,33.6072,-111.8465
105330,35.1801,-111.6577
105367,33.5779,-112.1134
105589,34.5445,-112.4765
105899,33.5951,-112.0262
106245,34.7266,-92.3418
106263,34.7497,-92.3209
106306,34.7348,-92.2906
106342,35.7789,-91.6281
106397,36.0615,-94.1782
106412,34.2422,-92.0213
106458,35.8428,-90.6805
106467,35.2952,-93.1323
106704,35.0782,-92.4593
106713,35.0846,-92.4441
107044,35.2496,-91.729
107071,34.1278,-93.0603
107080,35.0997,-92.442
107141,36.1911,-94.5591
107512,34.125,-93.0524
107558,35.4778,-93.4679
107600,34.7367,-92.2824
107877,36.1268,-90.9399
107983,33.2912,-93.2351
108092,35.3853,-94.3741
109651,34.1708,-118.1869
109785,34.1309,-117.888
110060,33.8423,-117.9413
110097,33.9048,-118.0173
110316,37.7748,-122.4165
110361,33.9286,-117.4259
110370,37.8357,-122.2514
110404,34.1393,-118.1257
110413,34.2256,-118.8795
110422,35.2989,-120.6586
110468,32.8971,-117.0944
110486,35.35,-119.1047
110495,37.5258,-120.8525
110510,34.183,-117.3225
110529,34.0543,-117.819
110538,39.728,-121.8463
110547,33.8652,-118.2593
110556,36.8145,-119.7483
110565,33.8836,-117.8853
110574,37.6571,-122.0581
110583,33.7828,-118.1123
110592,34.0669,-118.169
110608,34.2367,-118.5268
110617,38.5575,-121.4219
110635,37.8715,-122.2604
110644,38.5399,-121.752
110653,33.667,-117.7686
110662,34.0689,-118.4439
110671,33.9759,-117.3311
110680,32.8766,-117.2378
110705,34.4155,-119.8481
110714,36.9973,-122.068
110918,36.7676,-119.7328
111081,34.3933,-118.5673
111188,38.0691,-122.2316
111948,33.7937,-117.8515
112075,33.6535,-117.8106
112084,32.8,-116.9031
112260,34.1023,-117.7066
112570,34.1796,-118.5384
113698,37.98,-122.5147
114813,36.7253,-119.732
115083,37.7892,-122.3988
115409,34.1061,-117.7106
115728,37.8027,-122.1872
115755,40.8741,-124.0814
115773,38.0111,-121.3164
116712,37.8818,-122.184
116846,34.1281,-118.4718
117104,34.0894,-117.831
117140,34.1009,-117.7726
117168,33.5614,-117.7726
117575,32.8033,-116.9005
117627,33.9088,-117.4971
117636,34.0515,-117.2611
117751,34.3821,-118.5174
117946,33.9706,-118.4157
118693,37.4529,-122.1814
118888,37.7826,-122.1879
119058,36.5998,-121.8968
119173,34.0821,-118.4805
119605,32.9095,-117.2442
120184,37.5175,-122.2846
120254,34.1262,-118.2108
120403,33.9566,-118.4166
120537,33.8762,-117.8857
120698,37.3833,-122.186
120768,34.1515,-118.1609
120838,34.0617,-118.2996
120865,38.5741,-122.4496
120883,37.9806,-121.3073
121150,34.0419,-118.7077
121257,34.1034,-117.7059
121309,32.7133,-117.2512
121345,34.0983,-117.7119
121691,34.0636,-117.1638
122296,37.82,-122.2669
122409,32.7753,-117.0712
122436,32.7714,-117.1887
122454,37.8036,-122.417
122506,37.7753,-122.4201
122597,37.7213,-122.4779
122612,37.7756,-122.451
122728,38.8197,-121.2923
122755,37.3352,-121.8812
122931,37.3527,-121.9382
123165,34.1037,-117.7113
123280,40.5642,-122.3157
123457,40.6133,-122.333
123554,37.84,-122.1068
123572,38.341,-122.6733
123633,33.8479,-117.9587
123651,33.6627,-117.9009
123952,34.0437,-118.2327
123961,34.0211,-118.2839
124292,34.429,-119.0871
125727,34.4493,-119.6619
125763,33.9776,-118.0284
125897,34.2092,-118.3407
126076,34.0855,-118.3467
126182,37.4772,-105.8809
126562,39.7464,-104.9993
126580,38.8927,-104.8003
126614,40.0044,-105.2671
126669,39.7117,-105.0948
126678,38.8466,-104.8242
126775,39.7508,-105.2271
126818,40.5748,-105.0808
127060,39.696,-104.9646
127185,37.2754,-107.867
127556,39.0764,-108.5403
127565,39.7422,-105.0024
127653,40.0148,-105.2671
127714,38.8141,-104.7511
127741,40.4032,-104.7017
127918,39.7898,-105.0314
128106,38.3092,-104.5798
128391,38.5474,-106.9197
128498,41.3325,-72.9238
128744,41.1656,-73.1894
128771,41.6903,-72.7701
128902,41.3798,-72.1073
129020,41.8082,-72.2495
129215,41.7217,-72.2188
129242,41.1607,-73.2578
129525,41.7965,-72.715
129534,41.6068,-72.6479
129774,41.3281,-72.0953
129941,41.2913,-72.9615
130226,41.4195,-72.8955
130253,41.2215,-73.2446
130314,41.783,-72.7305
130493,41.3319,-72.9488
130590,41.7467,-72.6887
130697,41.5568,-72.6568
130776,41.4004,-73.4443
130794,41.3102,-72.9289
130934,39.1872,-75.5405
130943,39.6798,-75.7536
130989,39.7425,-75.694
131098,39.1633,-75.5274
131113,39.6823,-75.587
131159,38.9378,-77.0901
131283,38.9358,-76.999
131399,38.9438,-77.0662
131450,38.9074,-76.9937
131469,38.8987,-77.0479
131496,38.9088,-77.0735
131520,38.9207,-77.0195
131876,38.9274,-77.0043
132408,30.9564,-85.519
132471,25.8789,-80.1961
132602,29.2102,-81.0314
132657,26.3828,-80.1239
